,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
81,6161c792f4a68f52a28e0087,5vdqSjUj9JZsAHdr02Vygk,0.647,0.674,10,-3.236,1,0.0441,0.624,1.47e-06,0.202,0.734,79.986,250969,4,1,honeyd3wy
82,6161b980425e092516eb704f,3XKbdb9GB6u3hsnUklQTav,0.493,0.643,0,-5.19,1,0.0299,0.512,2.43e-05,0.209,0.3,144.704,321640,4,0,honeyd3wy
83,6161b3e6f7207f813e54c7a4,0cLXk75Pan3mhRlWqHiynh,0.407,0.494,8,-5.272,1,0.0343,0.744,1.62e-05,0.157,0.325,117.55,223547,4,1,honeyd3wy
84,6161b3e6f7207f813e54c79a,6c1QaQHdDhtFMfUkhueuXK,0.631,0.748,4,-2.569,0,0.0488,0.212,0.0,0.537,0.351,115.665,178413,4,1,honeyd3wy
85,6161b980425e092516eb7075,5EYWGM3Ns3iYew8ws0FatB,0.398,0.804,11,-5.559,1,0.0451,0.175,0.0,0.181,0.709,186.752,194307,4,0,honeyd3wy
86,6161b3e6f7207f813e54c791,6CdUgvL597jWmW4w8P5kHs,0.36,0.565,7,-4.898,1,0.0608,0.358,0.0,0.0448,0.311,173.281,209157,4,1,honeyd3wy
87,6161c792f4a68f52a28e007b,69BIczdH6QMnFx7dsSssN8,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,4,1,honeyd3wy
88,6161b980425e092516eb7035,50fXFVykkwS6Om9eqjTK44,0.559,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,157907,4,0,honeyd3wy
89,6161b980425e092516eb7029,5AnSllIrgGsCZzZJkVnApx,0.606,0.652,9,-6.982,1,0.0281,0.323,0.0,0.201,0.476,97.155,182493,4,0,honeyd3wy
90,6161c792f4a68f52a28e007c,2fQdK9TqM1mCURsjEcT0ly,0.709,0.861,0,-2.905,1,0.0941,0.106,4.73e-05,0.112,0.779,118.089,180809,4,1,honeyd3wy
91,6161c792f4a68f52a28e008b,3WfaJhCL4p2JbdffJjV6Va,0.699,0.907,9,-1.208,0,0.0544,0.0868,0.0,0.115,0.621,115.978,218994,4,1,honeyd3wy
92,6161c792f4a68f52a28e0080,0BhMw9r3eOLMLXRFBLCt6O,0.744,0.963,7,-1.525,1,0.0616,0.136,1.86e-06,0.0836,0.788,102.985,203640,4,1,honeyd3wy
93,6161c792f4a68f52a28e007a,5OnchRw2yAuIAwp2RYLCBa,0.717,0.795,4,-4.079,1,0.157,0.0487,1.67e-05,0.267,0.687,139.99,196734,4,1,honeyd3wy
94,6161c792f4a68f52a28e0099,5mpWGq83n0sIgGRopGk5QZ,0.821,0.602,5,-2.916,0,0.0907,0.286,0.0,0.0862,0.776,179.932,192808,4,1,honeyd3wy
95,6161b3e6f7207f813e54c795,2ppAfCQmvlN9ym0P9563dX,0.721,0.875,6,-1.166,1,0.0783,0.241,0.000105,0.381,0.692,141.994,215091,4,1,honeyd3wy
96,6161b980425e092516eb7047,19P6cJstaoQJHtHW3HOGcg,0.617,0.468,2,-6.908,1,0.0291,0.65,0.0,0.141,0.333,119.921,225360,3,0,honeyd3wy
97,6161b3e6f7207f813e54c786,07ESgOxZPygbiRNArnYO8O,0.667,0.903,5,-2.827,0,0.0634,0.0355,0.0,0.44,0.672,154.992,223667,4,1,honeyd3wy
98,6161b3e6f7207f813e54c78e,5vdqSjUj9JZsAHdr02Vygk,0.647,0.674,10,-3.236,1,0.0441,0.624,1.47e-06,0.202,0.734,79.986,250969,4,1,honeyd3wy
99,6161c792f4a68f52a28e0078,6SpPr7K4YQ2wp8jU6uOTmQ,0.695,0.896,5,-1.24,1,0.0847,0.179,0.0,0.0626,0.508,119.959,181760,4,1,honeyd3wy
100,6161b980425e092516eb7062,1D7cfiC5mxqHfTCcOiRBej,0.501,0.788,10,-4.624,1,0.0415,0.12,0.0,0.137,0.61,152.047,186613,4,0,honeyd3wy
101,6161b980425e092516eb7034,7xMFk2Vj2hALyMdzHFopJl,0.58,0.813,11,-5.621,1,0.0414,0.0386,1.44e-06,0.0926,0.473,120.973,205947,4,0,honeyd3wy
